place_id,review_type,1st_topic,2nd_topic,3rd_topic,name,region
ChIJ-21zmCEOsRIRUDHbDhKNBKk,negatif,examen et consultation,attente,mauvaise expérience,centre hospitalier de béziers service des urgences,Occitanie
ChIJ-21zmCEOsRIRUDHbDhKNBKk,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de béziers service des urgences,Occitanie
ChIJ-5-XIckCAUgR6gNzz6psTPw,negatif,examen et consultation,attente,personnel désagréable,centre hospitalier de saintonge,Nouvelle-Aquitaine
ChIJ-5-XIckCAUgR6gNzz6psTPw,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de saintonge,Nouvelle-Aquitaine
ChIJ-5sjkWoarxIRVzRTvd3PlkE,negatif,mauvaise expérience,examen et consultation,prise en charge d'urgence 2,centre hospitalier du val d'ariège urgences,Occitanie
ChIJ-6tpSn6T-UcROJU9Jd6tF00,negatif,prise en charge d'urgence 1,examen et consultation,personnel agréable et à l'écoute,centre hospitalier aubusson - site le mont,Nouvelle-Aquitaine
ChIJ-6tpSn6T-UcROJU9Jd6tF00,positif,professionnalisme,personnel agréable et à l'écoute,attente,centre hospitalier aubusson - site le mont,Nouvelle-Aquitaine
ChIJ-TmzZuNSAUgR1b0vhrRhJK0,negatif,prise en charge d'urgence 1,mauvaise expérience,maternité,hôpital marius lacroix,Nouvelle-Aquitaine
ChIJ-TmzZuNSAUgR1b0vhrRhJK0,positif,personnel agréable et à l'écoute,locaux et accès,attente,hôpital marius lacroix,Nouvelle-Aquitaine
ChIJ-WB_hdYg1xIR-xR4gDYGB_w,negatif,prise en charge d'urgence 2,examen et consultation,locaux et accès,clinique du cap,Corse
ChIJ-agK9nwy_kcRMpwuH0-iXl8,negatif,examen et consultation,professionnalisme,prise en charge d'urgence 1,hôpital de jour pédopsychiatrie patipata (antenne du centre hospitalier camille claudel),Nouvelle-Aquitaine
ChIJ-eQN8Ve_yRIRAYYnKUC7WtY,negatif,mauvaise expérience,attente,locaux et accès,hôpitaux universitaires de marseille - ap-hm,Provence-Alpes-Côte d'Azur
ChIJ-eQN8Ve_yRIRAYYnKUC7WtY,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 1,hôpitaux universitaires de marseille - ap-hm,Provence-Alpes-Côte d'Azur
ChIJ-fCWBwIc90cRt52oYK_sQto,negatif,attente,examen et consultation,mauvaise expérience,chu clermont-fd site estaing,Auvergne-Rhône-Alpes
ChIJ-fCWBwIc90cRt52oYK_sQto,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,chu clermont-fd site estaing,Auvergne-Rhône-Alpes
